G                               1         0.0000000000      0.0000000000      0.0000000000      0.0000000000
N                             101         0.8416362528      0.0000000000      0.5000000000      0.0000000000
X                             201         1.6832725397      0.0000000000      0.0000000000      0.5000000000
G                             336         2.8197077537      0.0000000000      0.0000000000      0.0000000000
M                             366         3.0699255886      0.2500000000      0.2500000000     -0.2500000000
